VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2019-01-01 00:09:48,2019-01-01 00:19:27,1,2.68,1,N,50,238,1,10.5,0.5,0.5,2.36,0,0.3,14.16,
2,2019-01-01 00:24:41,2019-01-01 00:47:42,1,3.18,1,N,238,161,2,16.5,0.5,0.5,0,0,0.3,17.8,
2,2019-01-01 00:48:56,2019-01-01 01:10:56,1,5.90,1,N,161,157,2,21.5,0.5,0.5,0,5.76,0.3,28.56,
1,2019-01-01 00:15:06,2019-01-01 00:20:14,1,1.20,1,N,238,142,1,6,0.5,0.5,2.15,0,0.3,9.45,
1,2019-01-01 00:28:42,2019-01-01 00:38:23,1,1.70,1,N,239,263,1,9,0.5,0.5,2.05,0,0.3,12.35,
1,2019-01-01 00:45:27,2019-01-01 00:50:56,1,1.10,1,N,263,75,2,6,0.5,0.5,0,0,0.3,7.3,
2,2019-01-01 00:24:40,2019-01-01 00:38:13,5,2.77,1,N,142,262,2,12,0.5,0.5,0,0,0.3,13.3,
2,2019-01-01 00:39:52,2019-01-01 00:47:24,5,1.91,1,N,262,163,1,8,0.5,0.5,1.86,0,0.3,11.16,
2,2019-01-01 00:49:14,2019-01-01 00:56:33,5,1.29,1,N,163,233,1,7,0.5,0.5,1.5,0,0.3,9.8,
2,2019-01-01 00:19:39,2019-01-01 00:29:33,1,.84,1,N,249,68,1,7.5,0.5,0.5,0.88,0,0.3,9.68,
2,2019-01-01 00:35:22,2019-01-01 00:55:15,1,1.48,1,N,246,48,1,13,0.5,0.5,4.29,0,0.3,18.59,
2,2019-01-01 00:56:09,2019-01-01 01:18:05,1,3.17,1,N,48,140,1,15.5,0.5,0.5,4.2,0,0.3,21,
2,2019-01-01 00:11:19,2019-01-01 00:21:04,1,1.25,1,N,90,164,2,7.5,0.5,0.5,0,0,0.3,8.8,
2,2019-01-01 00:22:09,2019-01-01 00:27:38,1,.68,1,N,164,233,1,5.5,0.5,0.5,1,0,0.3,7.8,
2,2019-01-01 00:28:26,2019-01-01 00:39:55,1,4.26,1,N,233,74,1,13.5,0.5,0.5,3.7,0,0.3,18.5,
2,2019-01-01 00:44:42,2019-01-01 00:49:50,1,1.30,1,N,263,237,1,6,0.5,0.5,1.46,0,0.3,8.76,
2,2019-01-01 00:08:45,2019-01-01 00:30:06,2,5.65,1,N,148,263,1,21,0.5,0.5,4.46,0,0.3,26.76,
2,2019-01-01 00:33:06,2019-01-01 00:43:45,1,2.18,1,N,263,230,1,9.5,0.5,0.5,2.7,0,0.3,13.5,
2,2019-01-01 00:46:29,2019-01-01 00:56:34,2,.93,1,N,163,161,2,7,0.5,0.5,0,0,0.3,8.3,
1,2019-01-01 00:07:14,2019-01-01 00:12:53,1,.80,1,N,113,114,1,6,0.5,0.5,1.8,0,0.3,9.1,
1,2019-01-01 00:18:55,2019-01-01 00:24:35,0,1.40,1,N,144,249,2,6.5,0.5,0.5,0,0,0.3,7.8,
1,2019-01-01 00:29:54,2019-01-01 00:54:32,2,4.90,1,N,113,75,1,19,0.5,0.5,2.03,0,0.3,22.33,
1,2019-01-01 00:59:11,2019-01-01 01:04:23,1,.90,1,N,237,237,1,6,0.5,0.5,1.45,0,0.3,8.75,
2,2019-01-01 00:54:34,2019-01-01 01:07:06,2,3.34,1,N,79,141,1,12,0.5,0.5,2.66,0,0.3,15.96,
2,2019-01-01 00:44:06,2019-01-01 00:54:37,1,.79,1,N,170,170,1,8,0.5,0.5,1.86,0,0.3,11.16,
1,2019-01-01 00:13:15,2019-01-01 00:38:13,3,2.50,1,N,164,144,1,16.5,0.5,0.5,2,0,0.3,19.8,
1,2019-01-01 00:42:43,2019-01-01 00:52:31,1,1.40,1,N,144,4,1,8.5,0.5,0.5,1.95,0,0.3,11.75,
2,2019-01-01 00:18:00,2019-01-01 00:26:12,1,.99,1,N,79,148,1,7,0.5,0.5,1.66,0,0.3,9.96,
2,2019-01-01 00:28:26,2019-01-01 00:29:51,1,.13,1,N,148,148,1,3,0.5,0.5,0.64,0,0.3,4.94,
2,2019-01-01 00:32:15,2019-01-01 00:40:06,1,1.34,1,N,148,107,1,7.5,0.5,0.5,2.64,0,0.3,11.44,
2,2019-01-01 00:51:46,2019-01-01 01:06:54,1,1.95,1,N,137,249,1,11,0.5,0.5,2.46,0,0.3,14.76,
2,2019-01-01 00:15:34,2019-01-01 00:25:29,4,2.30,1,N,151,74,2,10,0.5,0.5,0,0,0.3,11.3,
2,2019-01-01 00:42:39,2019-01-01 00:52:55,5,1.85,1,N,43,229,2,9,0.5,0.5,0,0,0.3,10.3,
